項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,3275,41：佐賀県,中原遺跡,唐津市原字溜ノ内・西ノ畑,13区No.433，灰褐色砂質土層,木材外皮付き最外,T,d,弥生時代中期～後期前葉,須玖Ⅱ～高三潴式,C,PLD-11213,AMS法,2175,25,----,----,-29.91,0.2,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,SAGFJ-C2,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
2,29117,41：佐賀県,中原遺跡,唐津市中原,5地点の3-4(Ⅲb層),木材片,T,d,古墳時代,----,D,IAAA-50909,AMS法,1810,40,1807,36,-30.46,0.72,----,パリノ･サーヴェイ　辻康男･田中義文･辻本裕也･伊藤良永･松元美由紀･馬場健司,加速器分析研究所,2006,中原遺跡の自然科学分析,32?65,----,唐津市文化財調査報告書　第129集　中原遺跡(2),唐津市教育委員会
3,29116,41：佐賀県,中原遺跡,唐津市中原,4地点の4(Ⅴ層),炭化材,T,f,弥生時代?古墳時代,----,CD,IAAA-50910,AMS法,3670,40,3669,37,-29.04,0.66,----,パリノ･サーヴェイ　辻康男･田中義文･辻本裕也･伊藤良永･松元美由紀･馬場健司,加速器分析研究所,2006,中原遺跡の自然科学分析,32?65,----,唐津市文化財調査報告書　第129集　中原遺跡(2),唐津市教育委員会
4,29181,41：佐賀県,中原遺跡,唐津市原字溜ノ内･西ノ畑,試料名:№1　7区､5層上面の杭列　,木杭,T,d,弥生時代中期?後期,----,C,Beta-150422,β線法,1910,70,----,----,----,----,-28.8,古環境研究所,Beta Analytic Inc.,2008,中原遺跡における放射性炭素年代測定,166,----,佐賀県文化財調査報告書　第175集　中原遺跡Ⅱ　-西九州自動車道建設に係る文化財調査報告書(5)-,佐賀県教育委員会
5,3274,41：佐賀県,中原遺跡,唐津市原字溜ノ内・西ノ畑,13区No.432，灰褐色砂質土層,木材最外,T,d,弥生時代中期～後期前葉,須玖Ⅱ～高三潴式,C,PLD-11212,AMS法,2170,25,----,----,-30.97,0.19,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,SAGFJ-C1,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
6,29087,41：佐賀県,久里双水古墳,唐津市双水字サコ,Eトレンチ炭化物層,炭化物,T,h,古墳時代,4世紀末?5世紀中頃,D,Gak-16403,β線法,2810,130,----,----,----,----,----,パリノ･サーヴェイ,学習院大学理学部年代測定室,1993,久里双水古墳自然科学分析,21?22,----,唐津市文化財調査報告書　第53集　久里双水古墳確認調査概要報告(2),唐津市教育委員会
7,29201,41：佐賀県,仁田古墳群,唐津市浜玉町谷口･渕上,P4001,炭化材,T,f,古代,----,E,PLD-12102,AMS法,1115,20,1114,21,-25.74,0.12,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,----,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
8,29200,41：佐賀県,仁田古墳群,唐津市浜玉町谷口･渕上,SK430,炭化材,T,f,古墳時代?中世,----,DEF,PLD-12101,AMS法,1220,20,1222,20,-27.01,0.15,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,----,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
9,29207,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(26-30?y),T,f,古墳時代,----,D,PLD-12108,AMS法,1690,20,1689,21,-28.51,0.13,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
10,29206,41：佐賀県,仁田埴輪窯跡,唐津市浜玉町渕上,SO405　西1区,炭化材(21-25y),T,f,古墳時代,----,D,PLD-12107,AMS法,1670,20,1672,20,-27.2,0.18,----,伊藤茂･尾嵜大真･丹生越子･廣田正史･瀬谷薫･小林紘一･Zaur　Lomtatidze･Ineza　Jorjoliani･中村賢太郎,パレオ・ラボ,2011,放射性炭素年代測定,216?221,ウィグルマッチング,佐賀県文化財調査報告書　第188集　仁田古墳群Ⅱ　仁田古墳群4区･仁田埴輪窯跡･矢作遺跡3区　-西九州自動車道建設に係る文化財調査報告書(10)-,佐賀県教育委員会
